지점코드,버스정류소명,설치일,아이디,크기,00시,01시,02시,03시,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,일일 이용자수 합계(평균),승차총승객수,하차총승객수,승차총승객수 일일 평균,하차총승객수 일일 평균,버스승객수 일일 평균,승객 1인 대비 쉼터 이용률
S_0007_SS21,성원중성수동이마트앞(성수공고앞),2020-07-31,04198,중형,8,1,14,3,124,311,544,1240,1778,2120,2643,3257,4079,4257,5706,5936,6429,5535,5405,4224,3890,3361,2152,856,63873,55776,117051,152.81095890410958,320.6876712328767,473.4986301369863,134.89584960683226
S_0020_SJ00,송정동건영아파트(송정동서울숲아이파크),2020-12-18,04215,중형,4,0,1,0,1490,3022,3911,6206,7611,6395,5803,6131,6549,6788,5725,5590,5825,5204,4680,3909,3186,2869,2319,1203,94421,141146,89807,386.7013698630137,246.04657534246576,632.7479452054795,149.22371651374954
S_0006_GH23,"신금호역(금호고등학교,금호자이1차아파트입구)",2020-07-31,04146,중형,7,2,0,0,138,925,2190,4503,7075,6113,4964,4425,4874,5221,6455,6047,6103,5677,5634,4760,3761,3543,2543,1370,86330,138241,123738,378.74246575342465,339.0082191780822,717.7506849315068,120.27853377560797
S_0032_YD00,신답역,2022-05-20,04217,소형,0,0,0,1,5,25,81,213,316,328,202,256,316,308,365,539,590,630,759,535,241,299,325,217,6551,185802,138785,509.04657534246576,380.2328767123288,889.2794520547945,7.366638220261439
S_0004_OS00,옥수삼성아파트.래미안옥수리버젠(극동그린아파트앞),2020-07-31,04162,중형,3,1,0,1,890,1234,1388,4682,5033,4805,4150,3954,4007,4361,4851,4441,4701,4472,3646,2810,2613,2218,1630,801,66692,170687,176511,467.6356164383562,483.5917808219178,951.227397260274,70.11152137973146
S_0021_HD01,왕십리광장.왕십리역4번출구(무학여고),2020-12-18,04302,중형,240,37,24,29,351,496,3024,5321,9270,7430,7617,9516,11088,12498,13437,15054,15869,14819,12671,9168,7680,8217,8296,4632,176784,527354,318592,1444.805479452055,872.8547945205479,2317.6602739726027,76.27692547751275
S_0023_DS00,왕십리센트라스아파트(성동고등학교),2021-07-29,04103,중형,5,0,0,14,1056,999,1415,2789,4333,3781,3549,3809,4220,4046,4121,3874,3754,3867,3670,2619,2106,1889,1778,761,58455,175852,324279,481.786301369863,888.4356164383562,1370.2219178082191,42.66097282511982
S_0014_YD00,용답동.로데오거리.답십리역(서울교통공사.서울새활용플라자),2020-12-18,04218,중형,20,2,0,9,445,826,2672,4824,8050,6071,5073,5556,7293,6937,7439,7931,8943,10272,11819,9905,6820,8325,7398,3548,130178,261394,111619,716.1479452054795,305.8054794520548,1021.9534246575342,127.38153898121513
S_0008_EB00,응봉동주민센터(응봉사거리),2020-07-31,04138,중형,25,7,13,5,97,1403,1832,6457,9291,7424,6577,6289,5887,7115,5998,6735,5984,5577,4842,3019,2918,2040,1749,811,92095,89554,87309,245.35342465753425,239.2027397260274,484.5561643835616,190.0605270746284
S_0002_HD01,응봉사거리(무학여고앞),2020-07-31,04140,중형,5,0,0,109,1174,4479,3158,7436,9488,6825,5814,5484,6335,6968,6587,7683,7491,7319,7142,5161,4262,4926,4168,1800,113814,422456,455855,1157.4136986301369,1248.9178082191781,2406.3315068493152,47.2977225606875
S_0025_EB00,응봉현대아파트(삼성래미안아파트앞),2021-07-29,04142,중형,0,0,1,0,186,348,449,1605,3127,2669,2485,2134,2244,2342,2169,2482,2406,1749,1352,876,764,682,424,180,30674,141928,222741,388.84383561643835,610.2493150684932,999.0931506849315,30.701841944338565
S_0028_SJ00,송정동현대아이파크아파트(송정동자치회관),2021-07-29,04500,중형,63,173,198,184,19,275,891,1420,1938,2791,2445,2140,2531,2448,2100,2368,2203,1825,1445,957,809,694,447,236,30600,74518,66571,204.15890410958903,182.38630136986302,386.5452054794521,79.16279795022999
S_0045_SJ00,제인병원,2022-05-20,04211,소형,0,0,0,0,3,13,11,63,73,121,128,129,234,201,190,298,202,181,183,102,67,87,88,11,2385,62091,67501,170.1123287671233,184.93424657534246,355.04657534246576,6.717428544971912
S_0024_DS00,코스모타워.서울신용보증재단성동지점(상왕십리역),2021-07-29,04110,중형,23,8,9,26,1669,1220,1621,2159,4399,3390,4280,5223,6185,6655,6550,6225,5716,5193,4384,4067,3146,2987,2559,1690,79384,244964,326105,671.1342465753424,893.4383561643835,1564.572602739726,50.73845717417685
S_0043_SG00,"한양대앞,한양시장",2022-05-20,04127,소형,0,0,0,1,24,59,33,85,75,101,152,172,257,297,270,294,390,466,342,236,146,174,121,90,3785,91306,75120,250.15342465753426,205.8082191780822,455.9616438356164,8.30113684159927
S_0001_SG00,한양대정문앞(서울숲삼부아파트),2020-07-31,04130,중형,16,3,3,5,1275,2198,3027,4036,5675,5341,5362,6193,7254,7590,8458,9400,10346,10294,9874,7071,5582,5816,5069,2338,122226,258628,394680,708.5698630136986,1081.3150684931506,1789.8849315068494,68.28707133541913
S_0017_SS23,화양사거리(성수초등학교),2020-12-18,04207,중형,9,2,0,3,555,2583,2702,6349,8789,7615,5092,5536,6282,6317,6229,6730,7236,7716,7759,4736,2933,2596,1863,852,100484,366901,245423,1005.2082191780822,672.3917808219178,1677.6,59.897472579876016
S_0033_GH04,힐스테이트서울숲리버아파트,2022-05-20,04159,소형,0,0,0,0,86,150,148,378,613,888,613,738,735,822,753,839,841,887,758,425,405,286,341,104,10810,181128,130898,496.241095890411,358.6246575342466,854.8657534246576,12.645260330869863
