노선번호,총 배차간격
7723,13.85714286
7726,24
7727,12.71428571
7728,15.71428571
773,17
7730,11
7734,10.57142857
7737,10
7738,8.857142857
774,25
8001,3.714285714
8002,25
8003,38.57142857
8101,5
8101,5
8101,5
8101,5
8101,5
8146,3.571428571
8221,7.142857143
8221,7.142857143
8221,7.142857143
8221,7.142857143
8331,11
8331,11
8441,7.857142857
8441,7.857142857
8541,18
8552,7.142857143
8552,7.142857143
8561,7.857142857
8561,7.857142857
8561,7.857142857
8641,3.571428571
8701,7.142857143
8762,11.42857143
8762,11.42857143
8773,30.71428571
8773,30.71428571
8777,24.42857143
9401,5.857142857
9401,5.857142857
44927,15
44927,15
9403,18.71428571
9404,8.714285714
9408,17.71428571
9701,15.28571429
9707,12.42857143
9711,13.14285714
9714,44
N13,25
N13,25
N15,20
N15,20
N26,25
N26,25
N30,40
N31,38
N31,38
N37,30
N37,30
N51,30
N51,30
N6000,80
N6001,80
N6002,200
N61,20
N61,20
N61,20
N62,20
N62,20
N64,30
N64,30
N6701,245
N6703,240
N73,35
N73,35
N75,30
N75,30
TOUR01,28.57142857
TOUR02,70.85714286
TOUR03,65.57142857
TOUR04,0
TOUR11,40
TOUR12,65.28571429
강남01,17.71428571
강남02,10.85714286
강남03,18.14285714
강남05,14.28571429
강남06,15.14285714
강남06-1,20.28571429
강남06-2,20.85714286
강남07,15.57142857
강남08,22
강남10,14.71428571
강동01,11
강동02,17.42857143
강동05,14.14285714
강북01,9.285714286
강북02,8.571428571
강북03,8.571428571
강북04,14.85714286
강북05,9.142857143
강북06,6.285714286
강북08,9
강북09,9.285714286
강북10,7.571428571
강북11,11.28571429
강북12,10.42857143
강서01,11.57142857
강서02,23
강서02,23
강서03,11.57142857
강서04,13.14285714
강서05,8.714285714
강서05-1,23
강서06,13
강서07,31
관악01,7.571428571
관악02,5.571428571
관악03,6.285714286
관악04,6
관악05,6
관악06,4.714285714
관악07,10
관악07,10
관악08,11
관악08,11
관악10,6.571428571
관악11,16
광진01,14
광진02,19
광진03,7.571428571
광진04,9.285714286
광진05,8.571428571
구로01,7.857142857
구로02,9.571428571
구로03,6.571428571
구로04,10.57142857
구로05,9.428571429
구로06,7
구로07,18.28571429
구로08,13.85714286
구로09,12.28571429
구로10,11.57142857
구로11,14.28571429
구로12,21
구로13,12.85714286
구로14,24
구로15,25
금천01,4.285714286
금천02,21
금천03,5.857142857
금천04,9
금천05,14.42857143
금천06,14.85714286
금천07,19.71428571
금천08,9.428571429
금천11,23
노원01,15
노원02,13.28571429
노원03,25
노원03,25
노원05,18
노원08,7.714285714
노원09,23.57142857
노원11,15
노원13,23.57142857
노원13,23.57142857
노원14,8.571428571
노원15,12.28571429
도봉01,12.14285714
도봉02,6.285714286
도봉03,12
도봉04,11
도봉05,14.28571429
도봉06,14.28571429
도봉07,12.28571429
도봉08,18
도봉09,10
동대문01,9.714285714
동대문02,11.71428571
동대문03,8
동대문05,15.42857143
동작01,5.428571429
동작02,19.57142857
동작03,12.42857143
동작05,16.85714286
동작05-1,19.14285714
동작06,16
동작07,12.57142857
동작08,7.285714286
동작09,8.285714286
동작10,22
동작11,19
동작12,12
동작13,14.28571429
동작14,22
동작15,12.28571429
동작16,16
동작17,16
동작18,28
동작19,23.28571429
동작20,25
동작21,21
마포01,11.14285714
마포02,11.28571429
마포03,10.85714286
마포05,15
마포06,6.285714286
마포07,9.285714286
마포08,9.571428571
마포09,6.142857143
마포10,6.142857143
마포11,8.285714286
마포12,8.285714286
마포13,23
마포14,18
마포15,9.571428571
마포16,8.285714286
마포17,7
마포18,14.57142857
마포18-1,12.71428571
서대문01,19.42857143
서대문02대,11.71428571
서대문02소,20.57142857
서대문03,7.571428571
서대문04,15.28571429
서대문05,9.571428571
서대문06,15.42857143
서대문07,25
서대문08,17
서대문09대,9.714285714
서대문09소,18.14285714
서대문10,16
서대문11,16.57142857
